"klinik";"laki_laki";"perempuan";"periode_update"
"Eksekutif Jantung";"73";"79";"Februari 2019"
"Eksekutif Paru";"8";"8";"Februari 2019"
"GIZI";"8";"10";"Maret 2019"
"Eksekutif Bedah Umum";"34";"39";"Maret 2019"
"Eksekutif Gigi dan Mulut";"7";"12";"Maret 2019"
"PALIATIF NYERI";"0";"1";"Maret 2019"
"THT-KL";"175";"109";"Maret 2019"
"VCT";"0";"2";"Maret 2019"
"ASIH";"2";"61";"Maret 2019"
"Eksekutif Endoskopi";"2";"8";"Maret 2019"
"BEDAH ORTHOPEDI";"198";"192";"Maret 2019"
"ANAK";"80";"64";"Maret 2019"
"Eksekutif Rehab Medik";"18";"16";"Maret 2019"
"Eksekutif Bedah Saraf";"31";"23";"Maret 2019"
"Eksekutif Mata";"37";"67";"Maret 2019"
"MATA";"181";"163";"Maret 2019"
"Eksekutif Kebidanan/Kandungan";"0";"59";"Maret 2019"
"GIGI & MULUT";"53";"51";"Maret 2019"
"Eksekutif Anak";"16";"14";"Maret 2019"
"Eksekutif Interne/Penyakit Dalam";"143";"171";"Maret 2019"
"BEDAH UROLOGI";"313";"104";"Maret 2019"
"KULIT & KELAMIN";"68";"101";"Maret 2019"
"Eksekutif Saraf";"51";"46";"Maret 2019"
"REHAB MEDIK";"154";"160";"Maret 2019"
"PSIKIATRI/JIWA";"35";"65";"Maret 2019"
"BEDAH SYARAF";"45";"63";"Maret 2019"
"POLI SPESIALIS";"0";"1";"Maret 2019"
"KEBIDANAN/KANDUNGAN";"0";"70";"Maret 2019"
"BEDAH UMUM";"89";"126";"Maret 2019"
"Eksekutif Bedah Orthopedi";"85";"86";"Maret 2019"
"KELUARGA BERENCANA";"0";"13";"Maret 2019"
"JANTUNG";"495";"497";"Maret 2019"
"Eksekutif Psikiatri / Jiwa";"4";"1";"Maret 2019"
"GENERAL CHECKUP";"229";"134";"Maret 2019"
"SYARAF";"160";"217";"Maret 2019"
"Eksekutif THT";"9";"19";"Maret 2019"
"PARU";"104";"88";"Maret 2019"
"Eksekutif Kulit dan Kelamin";"21";"41";"Maret 2019"
"Eksekutif Bedah Urologi";"43";"18";"Maret 2019"
"INTERNE/PENY. DALAM";"613";"772";"Maret 2019"
"Eksekutif Jantung";"86";"90";"Maret 2019"
"Eksekutif Paru";"7";"9";"Maret 2019"
"Eksekutif Paliatif Nyeri";"8";"6";"Maret 2019"
"GIZI";"8";"6";"April 2019"
"Eksekutif Bedah Umum";"43";"42";"April 2019"
"Eksekutif Gigi dan Mulut";"6";"10";"April 2019"
"Eksekutif Paliatif Nyeri";"7";"9";"April 2019"
"PALIATIF NYERI";"1";"2";"April 2019"
"THT-KL";"133";"141";"April 2019"
"Eksekutif Endoskopi";"5";"11";"April 2019"
"ASIH";"1";"67";"April 2019"
"BEDAH ORTHOPEDI";"197";"200";"April 2019"
"ANAK";"82";"62";"April 2019"
"Eksekutif Rehab Medik";"16";"23";"April 2019"
"Eksekutif Mata";"41";"49";"April 2019"
"Eksekutif Bedah Saraf";"34";"7";"April 2019"
"MATA";"130";"206";"April 2019"
"Eksekutif Kebidanan/Kandungan";"0";"70";"April 2019"
"GIGI & MULUT";"48";"54";"April 2019"
"Eksekutif Anak";"13";"9";"April 2019"
"Eksekutif Interne/Penyakit Dalam";"137";"172";"April 2019"
"BEDAH UROLOGI";"300";"100";"April 2019"
"KULIT & KELAMIN";"67";"86";"April 2019"
"PSIKIATRI/JIWA";"51";"75";"April 2019"
"BEDAH SYARAF";"53";"69";"April 2019"
"REHAB MEDIK";"144";"169";"April 2019"
"Eksekutif Saraf";"54";"53";"April 2019"
"POLI SPESIALIS";"0";"1";"April 2019"
"BEDAH UMUM";"82";"118";"April 2019"
"KEBIDANAN/KANDUNGAN";"0";"68";"April 2019"
"Eksekutif Bedah Orthopedi";"78";"102";"April 2019"
"KELUARGA BERENCANA";"0";"13";"April 2019"
"JANTUNG";"406";"508";"April 2019"
"Eksekutif Psikiatri / Jiwa";"2";"1";"April 2019"
"GENERAL CHECKUP";"99";"71";"April 2019"
"Eksekutif THT";"16";"19";"April 2019"
"PARU";"89";"107";"April 2019"
"SYARAF";"191";"222";"April 2019"
"Eksekutif Kulit dan Kelamin";"20";"39";"April 2019"
"Eksekutif Bedah Urologi";"44";"12";"April 2019"
"INTERNE/PENY. DALAM";"625";"752";"April 2019"
"Eksekutif Jantung";"80";"94";"April 2019"
"Eksekutif Paru";"8";"10";"April 2019"
"GIZI";"7";"7";"Mei 2019"
"Eksekutif Gigi dan Mulut";"7";"7";"Mei 2019"
"Eksekutif Bedah Umum";"39";"61";"Mei 2019"
"Eksekutif Paliatif Nyeri";"5";"6";"Mei 2019"
"PALIATIF NYERI";"0";"1";"Mei 2019"
"THT-KL";"89";"88";"Mei 2019"
"VCT";"1";"0";"Mei 2019"
"Eksekutif Endoskopi";"12";"10";"Mei 2019"
"ASIH";"1";"64";"Mei 2019"
"BEDAH ORTHOPEDI";"191";"189";"Mei 2019"
"ANAK";"68";"59";"Mei 2019"
"Eksekutif Rehab Medik";"18";"22";"Mei 2019"
"Eksekutif Mata";"36";"71";"Mei 2019"
"Eksekutif Bedah Saraf";"28";"13";"Mei 2019"
"MATA";"134";"170";"Mei 2019"
"Eksekutif Kebidanan/Kandungan";"0";"54";"Mei 2019"
"GIGI & MULUT";"45";"46";"Mei 2019"
"Eksekutif Anak";"9";"7";"Mei 2019"
"Eksekutif Interne/Penyakit Dalam";"149";"160";"Mei 2019"
"BEDAH UROLOGI";"280";"100";"Mei 2019"
"KULIT & KELAMIN";"85";"95";"Mei 2019"
"Eksekutif Saraf";"49";"42";"Mei 2019"
"PSIKIATRI/JIWA";"51";"87";"Mei 2019"
"BEDAH SYARAF";"55";"62";"Mei 2019"
"REHAB MEDIK";"147";"171";"Mei 2019"
"KEBIDANAN/KANDUNGAN";"1";"53";"Mei 2019"
"BEDAH UMUM";"79";"130";"Mei 2019"
"Eksekutif Bedah Orthopedi";"80";"100";"Mei 2019"
"KELUARGA BERENCANA";"0";"16";"Mei 2019"
"JANTUNG";"416";"469";"Mei 2019"
"Eksekutif Psikiatri / Jiwa";"6";"3";"Mei 2019"
"GENERAL CHECKUP";"176";"109";"Mei 2019"
"SYARAF";"179";"241";"Mei 2019"
"PARU";"80";"91";"Mei 2019"
"Eksekutif THT";"19";"18";"Mei 2019"
"Eksekutif Kulit dan Kelamin";"21";"45";"Mei 2019"
"Eksekutif Bedah Urologi";"58";"16";"Mei 2019"
"INTERNE/PENY. DALAM";"623";"788";"Mei 2019"
"Eksekutif Paru";"13";"12";"Mei 2019"
"Eksekutif Jantung";"71";"80";"Mei 2019"
"GIZI";"3";"5";"Juni 2019"
"Eksekutif Bedah Umum";"44";"48";"Juni 2019"
"Eksekutif Gigi dan Mulut";"6";"6";"Juni 2019"
"Eksekutif Paliatif Nyeri";"5";"7";"Juni 2019"
"PALIATIF NYERI";"0";"1";"Juni 2019"
"THT-KL";"66";"62";"Juni 2019"
"ASIH";"1";"40";"Juni 2019"
"Eksekutif Endoskopi";"3";"7";"Juni 2019"
"BEDAH ORTHOPEDI";"189";"155";"Juni 2019"
"ANAK";"51";"36";"Juni 2019"
"Eksekutif Rehab Medik";"10";"23";"Juni 2019"
"Eksekutif Mata";"27";"40";"Juni 2019"
"Eksekutif Bedah Saraf";"27";"25";"Juni 2019"
"Eksekutif Kebidanan/Kandungan";"0";"44";"Juni 2019"
"MATA";"134";"160";"Juni 2019"
"GIGI & MULUT";"48";"45";"Juni 2019"
"Eksekutif Anak";"5";"4";"Juni 2019"
"BEDAH UROLOGI";"249";"90";"Juni 2019"
"Eksekutif Interne/Penyakit Dalam";"121";"131";"Juni 2019"
"KULIT & KELAMIN";"71";"83";"Juni 2019"
"PSIKIATRI/JIWA";"49";"74";"Juni 2019"
"BEDAH SYARAF";"59";"45";"Juni 2019"
"REHAB MEDIK";"123";"155";"Juni 2019"
"Eksekutif Saraf";"43";"36";"Juni 2019"
"KEBIDANAN/KANDUNGAN";"1";"47";"Juni 2019"
"BEDAH UMUM";"84";"102";"Juni 2019"
"Eksekutif Bedah Orthopedi";"69";"92";"Juni 2019"
"KELUARGA BERENCANA";"1";"12";"Juni 2019"
"JANTUNG";"403";"469";"Juni 2019"
"Eksekutif Psikiatri / Jiwa";"2";"2";"Juni 2019"
"GENERAL CHECKUP";"51";"44";"Juni 2019"
"SYARAF";"151";"171";"Juni 2019"
"PARU";"72";"69";"Juni 2019"
"Eksekutif THT";"11";"18";"Juni 2019"
"Eksekutif Kulit dan Kelamin";"18";"33";"Juni 2019"
"Eksekutif Bedah Urologi";"26";"6";"Juni 2019"
"INTERNE/PENY. DALAM";"535";"633";"Juni 2019"
"Eksekutif Jantung";"48";"66";"Juni 2019"
"Eksekutif Paru";"12";"5";"Juni 2019"
"ANASTESI";"0";"1";"Juni 2019"
"GIZI";"7";"10";"Juli 2019"
"Eksekutif Paliatif Nyeri";"9";"22";"Juli 2019"
"Eksekutif Gigi dan Mulut";"11";"9";"Juli 2019"
"Eksekutif Bedah Umum";"51";"50";"Juli 2019"
"PALIATIF NYERI";"0";"2";"Juli 2019"
"THT-KL";"114";"91";"Juli 2019"
"Eksekutif Endoskopi";"9";"10";"Juli 2019"
"ASIH";"2";"67";"Juli 2019"
"BEDAH ORTHOPEDI";"232";"211";"Juli 2019"
"ANAK";"80";"50";"Juli 2019"
"Eksekutif Mata";"46";"92";"Juli 2019"
"Eksekutif Rehab Medik";"24";"27";"Juli 2019"
"Eksekutif Bedah Saraf";"31";"26";"Juli 2019"
"MATA";"180";"240";"Juli 2019"
"Eksekutif Kebidanan/Kandungan";"3";"78";"Juli 2019"
"HEMODIALISA";"131";"131";"Juli 2019"
"GIGI & MULUT";"78";"81";"Juli 2019"
"Eksekutif Anak";"9";"15";"Juli 2019"
"Eksekutif Interne/Penyakit Dalam";"134";"171";"Juli 2019"
"BEDAH UROLOGI";"306";"100";"Juli 2019"
"KULIT & KELAMIN";"81";"106";"Juli 2019"
"BEDAH SYARAF";"67";"71";"Juli 2019"
"PSIKIATRI/JIWA";"52";"91";"Juli 2019"
"REHAB MEDIK";"169";"189";"Juli 2019"
"Eksekutif Saraf";"57";"49";"Juli 2019"
"BEDAH UMUM";"91";"136";"Juli 2019"
"KEBIDANAN/KANDUNGAN";"0";"65";"Juli 2019"
"Eksekutif Bedah Orthopedi";"75";"76";"Juli 2019"
"KELUARGA BERENCANA";"0";"16";"Juli 2019"
"JANTUNG";"478";"577";"Juli 2019"
"Eksekutif Psikiatri / Jiwa";"1";"5";"Juli 2019"
"GENERAL CHECKUP";"89";"102";"Juli 2019"
"SYARAF";"213";"218";"Juli 2019"
"PARU";"92";"86";"Juli 2019"
"Eksekutif THT";"25";"19";"Juli 2019"
"Eksekutif Kulit dan Kelamin";"44";"51";"Juli 2019"
"Eksekutif Bedah Urologi";"51";"16";"Juli 2019"
"INTERNE/PENY. DALAM";"682";"800";"Juli 2019"
"Eksekutif Jantung";"79";"78";"Juli 2019"
"Eksekutif Paru";"12";"4";"Juli 2019"
"GIZI";"13";"8";"Agustus 2019"
"Eksekutif Bedah Umum";"52";"48";"Agustus 2019"
"Eksekutif Gigi dan Mulut";"10";"12";"Agustus 2019"
"THT-KL";"107";"83";"Agustus 2019"
"ASIH";"1";"70";"Agustus 2019"
"Eksekutif Endoskopi";"2";"8";"Agustus 2019"
"BEDAH ORTHOPEDI";"210";"201";"Agustus 2019"
"ANAK";"68";"48";"Agustus 2019"
"Eksekutif Rehab Medik";"18";"22";"Agustus 2019"
"Eksekutif Mata";"29";"50";"Agustus 2019"
"TB MDR";"20";"9";"Agustus 2019"
"Eksekutif Bedah Saraf";"31";"11";"Agustus 2019"
"MATA";"136";"179";"Agustus 2019"
"Eksekutif Kebidanan/Kandungan";"5";"65";"Agustus 2019"
"HEMODIALISA";"147";"146";"Agustus 2019"
"GIGI & MULUT";"70";"75";"Agustus 2019"
"Eksekutif Anak";"14";"7";"Agustus 2019"
"BEDAH UROLOGI";"280";"84";"Agustus 2019"
"Eksekutif Interne/Penyakit Dalam";"107";"102";"Agustus 2019"
"KULIT & KELAMIN";"75";"68";"Agustus 2019"
"Eksekutif Saraf";"65";"44";"Agustus 2019"
"PSIKIATRI/JIWA";"70";"96";"Agustus 2019"
"REHAB MEDIK";"169";"177";"Agustus 2019"
"BEDAH SYARAF";"53";"70";"Agustus 2019"
"ONKOLOGI";"1";"0";"Agustus 2019"
"BEDAH UMUM";"87";"104";"Agustus 2019"
"KEBIDANAN/KANDUNGAN";"0";"54";"Agustus 2019"
"Eksekutif Bedah Orthopedi";"89";"78";"Agustus 2019"
"KELUARGA BERENCANA";"0";"11";"Agustus 2019"
"JANTUNG";"417";"501";"Agustus 2019"
"Eksekutif Psikiatri / Jiwa";"2";"2";"Agustus 2019"
"GENERAL CHECKUP";"69";"78";"Agustus 2019"
"SYARAF";"196";"237";"Agustus 2019"
"PARU";"62";"55";"Agustus 2019"
"Eksekutif THT";"27";"20";"Agustus 2019"
"Eksekutif Bedah Urologi";"47";"11";"Agustus 2019"
"Eksekutif Kulit dan Kelamin";"24";"37";"Agustus 2019"
"INTERNE/PENY. DALAM";"648";"745";"Agustus 2019"
"Eksekutif Jantung";"63";"69";"Agustus 2019"
"Eksekutif Paru";"15";"4";"Agustus 2019"
"ANASTESI";"0";"1";"Agustus 2019"
"Eksekutif Paliatif Nyeri";"4";"5";"Agustus 2019"
"PALIATIF NYERI";"1";"1";"Agustus 2019"
"GIZI";"17";"11";"September 2019"
"Eksekutif Bedah Umum";"62";"52";"September 2019"
"Eksekutif Gigi dan Mulut";"5";"18";"September 2019"
"PALIATIF NYERI";"0";"1";"September 2019"
"THT-KL";"94";"85";"September 2019"
"ASIH";"2";"71";"September 2019"
"Eksekutif Endoskopi";"6";"6";"September 2019"
"BEDAH ORTHOPEDI";"219";"188";"September 2019"
"ANAK";"86";"65";"September 2019"
"Eksekutif Rehab Medik";"22";"28";"September 2019"
"Eksekutif Mata";"41";"62";"September 2019"
"TB MDR";"18";"9";"September 2019"
"Eksekutif Bedah Saraf";"28";"15";"September 2019"
"MATA";"140";"168";"September 2019"
"Eksekutif Kebidanan/Kandungan";"5";"77";"September 2019"
"HEMODIALISA";"149";"142";"September 2019"
"GIGI & MULUT";"57";"87";"September 2019"
"Eksekutif Anak";"9";"10";"September 2019"
"BEDAH UROLOGI";"280";"83";"September 2019"
"Eksekutif Interne/Penyakit Dalam";"140";"146";"September 2019"
"KULIT & KELAMIN";"77";"88";"September 2019"
"REHAB MEDIK";"190";"195";"September 2019"
"PSIKIATRI/JIWA";"70";"95";"September 2019"
"Eksekutif Saraf";"55";"42";"September 2019"
"BEDAH SYARAF";"61";"66";"September 2019"
"BEDAH UMUM";"107";"134";"September 2019"
"KEBIDANAN/KANDUNGAN";"0";"54";"September 2019"
"Eksekutif Bedah Orthopedi";"89";"71";"September 2019"
"KELUARGA BERENCANA";"0";"12";"September 2019"
"JANTUNG";"424";"515";"September 2019"
"Eksekutif Psikiatri / Jiwa";"2";"4";"September 2019"
"GENERAL CHECKUP";"86";"87";"September 2019"
"SYARAF";"182";"240";"September 2019"
"PARU";"61";"63";"September 2019"
"Eksekutif THT";"15";"17";"September 2019"
"Eksekutif Bedah Urologi";"36";"10";"September 2019"
"Eksekutif Kulit dan Kelamin";"13";"50";"September 2019"
"INTERNE/PENY. DALAM";"657";"759";"September 2019"
"Eksekutif Jantung";"75";"80";"September 2019"
"Eksekutif Paru";"15";"4";"September 2019"
"Eksekutif Paliatif Nyeri";"11";"10";"September 2019"
"GIZI";"7";"12";"Oktober 2019"
"Eksekutif Bedah Umum";"49";"53";"Oktober 2019"
"Eksekutif Gigi dan Mulut";"5";"7";"Oktober 2019"
"PALIATIF NYERI";"4";"2";"Oktober 2019"
"THT-KL";"121";"84";"Oktober 2019"
"ASIH";"3";"78";"Oktober 2019"
"Eksekutif Endoskopi";"6";"5";"Oktober 2019"
"BEDAH ORTHOPEDI";"222";"201";"Oktober 2019"
"ANAK";"88";"69";"Oktober 2019"
"Eksekutif Rehab Medik";"16";"29";"Oktober 2019"
"Eksekutif Bedah Saraf";"35";"13";"Oktober 2019"
"TB MDR";"26";"13";"Oktober 2019"
"Eksekutif Mata";"49";"65";"Oktober 2019"
"MATA";"173";"238";"Oktober 2019"
"Eksekutif Kebidanan/Kandungan";"0";"71";"Oktober 2019"
"HEMODIALISA";"161";"149";"Oktober 2019"
"GIGI & MULUT";"69";"73";"Oktober 2019"
"Eksekutif Anak";"13";"6";"Oktober 2019"
"BEDAH UROLOGI";"299";"114";"Oktober 2019"
"Eksekutif Interne/Penyakit Dalam";"127";"156";"Oktober 2019"
"KULIT & KELAMIN";"90";"73";"Oktober 2019"
"REHAB MEDIK";"192";"213";"Oktober 2019"
"BEDAH SYARAF";"61";"64";"Oktober 2019"
"Eksekutif Saraf";"58";"53";"Oktober 2019"
"PSIKIATRI/JIWA";"75";"87";"Oktober 2019"
"BEDAH UMUM";"91";"119";"Oktober 2019"
"KEBIDANAN/KANDUNGAN";"3";"54";"Oktober 2019"
"Eksekutif Bedah Orthopedi";"88";"77";"Oktober 2019"
"KELUARGA BERENCANA";"0";"12";"Oktober 2019"
"JANTUNG";"466";"515";"Oktober 2019"
"Eksekutif Psikiatri / Jiwa";"3";"5";"Oktober 2019"
"GENERAL CHECKUP";"110";"121";"Oktober 2019"
"SYARAF";"219";"237";"Oktober 2019"
"PARU";"75";"56";"Oktober 2019"
"Eksekutif THT";"21";"23";"Oktober 2019"
"Eksekutif Kulit dan Kelamin";"18";"32";"Oktober 2019"
"Eksekutif Bedah Urologi";"44";"22";"Oktober 2019"
"INTERNE/PENY. DALAM";"696";"823";"Oktober 2019"
"Eksekutif Jantung";"73";"84";"Oktober 2019"
"Eksekutif Paru";"9";"7";"Oktober 2019"
"Eksekutif Paliatif Nyeri";"6";"8";"Oktober 2019"
"GIZI";"13";"7";"November 2019"
"Eksekutif Bedah Umum";"71";"54";"November 2019"
"Eksekutif Gigi dan Mulut";"14";"14";"November 2019"
"PALIATIF NYERI";"1";"3";"November 2019"
"THT-KL";"93";"75";"November 2019"
"ASIH";"6";"64";"November 2019"
"Eksekutif Endoskopi";"12";"8";"November 2019"
"BEDAH ORTHOPEDI";"208";"204";"November 2019"
"ANAK";"49";"50";"November 2019"
"Eksekutif Mata";"37";"56";"November 2019"
"Eksekutif Rehab Medik";"18";"24";"November 2019"
"Eksekutif Bedah Saraf";"26";"18";"November 2019"
"TB MDR";"25";"11";"November 2019"
"Eksekutif Kebidanan/Kandungan";"0";"68";"November 2019"
"MATA";"155";"167";"November 2019"
"HEMODIALISA";"168";"140";"November 2019"
"GIGI & MULUT";"58";"72";"November 2019"
"Eksekutif Anak";"4";"7";"November 2019"
"BEDAH UROLOGI";"304";"113";"November 2019"
"Eksekutif Interne/Penyakit Dalam";"111";"154";"November 2019"
"KULIT & KELAMIN";"70";"81";"November 2019"
"Eksekutif Saraf";"63";"49";"November 2019"
"REHAB MEDIK";"190";"204";"November 2019"
"PSIKIATRI/JIWA";"70";"103";"November 2019"
"BEDAH SYARAF";"48";"72";"November 2019"
"BEDAH UMUM";"93";"111";"November 2019"
"KEBIDANAN/KANDUNGAN";"2";"60";"November 2019"
"Eksekutif Bedah Orthopedi";"76";"68";"November 2019"
"KELUARGA BERENCANA";"0";"8";"November 2019"
"JANTUNG";"432";"476";"November 2019"
"Eksekutif Psikiatri / Jiwa";"3";"5";"November 2019"
"GENERAL CHECKUP";"145";"210";"November 2019"
"SYARAF";"203";"237";"November 2019"
"PARU";"76";"47";"November 2019"
"Eksekutif THT";"11";"15";"November 2019"
"Eksekutif Kulit dan Kelamin";"15";"35";"November 2019"
"Eksekutif Bedah Urologi";"48";"32";"November 2019"
"INTERNE/PENY. DALAM";"653";"766";"November 2019"
"Eksekutif Jantung";"66";"64";"November 2019"
"Eksekutif Paru";"12";"9";"November 2019"
"Eksekutif Paliatif Nyeri";"6";"8";"November 2019"
"GIZI";"7";"5";"Desember 2019"
"Eksekutif Bedah Umum";"50";"61";"Desember 2019"
"Eksekutif Gigi dan Mulut";"9";"11";"Desember 2019"
"THT-KL";"77";"76";"Desember 2019"
"ASIH";"3";"66";"Desember 2019"
"Eksekutif Endoskopi";"4";"6";"Desember 2019"
"BEDAH ORTHOPEDI";"198";"221";"Desember 2019"
"ANAK";"59";"49";"Desember 2019"
"Eksekutif Rehab Medik";"21";"21";"Desember 2019"
"TB MDR";"24";"13";"Desember 2019"
"Eksekutif Bedah Saraf";"18";"16";"Desember 2019"
"Eksekutif Mata";"30";"69";"Desember 2019"
"Eksekutif Kebidanan/Kandungan";"0";"85";"Desember 2019"
"MATA";"150";"157";"Desember 2019"
"HEMODIALISA";"169";"138";"Desember 2019"
"GIGI & MULUT";"43";"62";"Desember 2019"
"Eksekutif Anak";"7";"5";"Desember 2019"
"BEDAH UROLOGI";"333";"116";"Desember 2019"
"Eksekutif Interne/Penyakit Dalam";"119";"120";"Desember 2019"
"KULIT & KELAMIN";"55";"73";"Desember 2019"
"Eksekutif Saraf";"70";"42";"Desember 2019"
"REHAB MEDIK";"186";"192";"Desember 2019"
"PSIKIATRI/JIWA";"66";"89";"Desember 2019"
"BEDAH SYARAF";"60";"68";"Desember 2019"
"POLI SPESIALIS";"0";"1";"Desember 2019"
"BEDAH UMUM";"102";"129";"Desember 2019"
"KEBIDANAN/KANDUNGAN";"2";"57";"Desember 2019"
"Eksekutif Bedah Orthopedi";"84";"99";"Desember 2019"
"KELUARGA BERENCANA";"0";"12";"Desember 2019"
"JANTUNG";"479";"578";"Desember 2019"
"Eksekutif Psikiatri / Jiwa";"4";"5";"Desember 2019"
"GENERAL CHECKUP";"89";"111";"Desember 2019"
"PARU";"54";"56";"Desember 2019"
"SYARAF";"196";"231";"Desember 2019"
"Eksekutif THT";"15";"12";"Desember 2019"
"Eksekutif Kulit dan Kelamin";"22";"33";"Desember 2019"
"Eksekutif Bedah Urologi";"59";"15";"Desember 2019"
"INTERNE/PENY. DALAM";"692";"776";"Desember 2019"
"Eksekutif Jantung";"76";"73";"Desember 2019"
"Eksekutif Paru";"17";"6";"Desember 2019"
"Eksekutif Paliatif Nyeri";"3";"6";"Desember 2019"
"GIZI";"11";"4";"Januari 2020"
"Eksekutif Bedah Umum";"51";"63";"Januari 2020"
"Eksekutif Gigi dan Mulut";"7";"11";"Januari 2020"
"Eksekutif Paliatif Nyeri";"4";"1";"Januari 2020"
"THT-KL";"106";"91";"Januari 2020"
"Eksekutif Endoskopi";"9";"17";"Januari 2020"
"ASIH";"2";"80";"Januari 2020"
"BEDAH ORTHOPEDI";"207";"213";"Januari 2020"
"ANAK";"81";"64";"Januari 2020"
"Eksekutif Rehab Medik";"26";"26";"Januari 2020"
"TB MDR";"23";"8";"Januari 2020"
"Eksekutif Bedah Saraf";"20";"19";"Januari 2020"
"Eksekutif Mata";"44";"64";"Januari 2020"
"MATA";"125";"169";"Januari 2020"
"Eksekutif Kebidanan/Kandungan";"5";"79";"Januari 2020"
"HEMODIALISA";"167";"144";"Januari 2020"
"GIGI & MULUT";"51";"70";"Januari 2020"
"Eksekutif Anak";"14";"7";"Januari 2020"
"BEDAH UROLOGI";"366";"120";"Januari 2020"
"Eksekutif Interne/Penyakit Dalam";"144";"161";"Januari 2020"
"KULIT & KELAMIN";"75";"73";"Januari 2020"
"Eksekutif Saraf";"53";"38";"Januari 2020"
"PSIKIATRI/JIWA";"86";"89";"Januari 2020"
"BEDAH SYARAF";"59";"72";"Januari 2020"
"REHAB MEDIK";"194";"192";"Januari 2020"
"KEBIDANAN/KANDUNGAN";"2";"64";"Januari 2020"
"BEDAH UMUM";"128";"145";"Januari 2020"
"Eksekutif Bedah Orthopedi";"86";"109";"Januari 2020"
"KELUARGA BERENCANA";"0";"6";"Januari 2020"
"JANTUNG";"484";"593";"Januari 2020"
"Eksekutif Psikiatri / Jiwa";"2";"5";"Januari 2020"
"GENERAL CHECKUP";"89";"109";"Januari 2020"
"SYARAF";"215";"257";"Januari 2020"
"PARU";"66";"55";"Januari 2020"
"Eksekutif THT";"31";"17";"Januari 2020"
"Eksekutif Kulit dan Kelamin";"30";"52";"Januari 2020"
"Eksekutif Bedah Urologi";"75";"24";"Januari 2020"
"INTERNE/PENY. DALAM";"772";"846";"Januari 2020"
"Eksekutif Paru";"14";"11";"Januari 2020"
"Eksekutif Jantung";"74";"84";"Januari 2020"
"GIZI";"9";"12";"Februari 2020"
"Eksekutif Bedah Umum";"59";"42";"Februari 2020"
"Eksekutif Gigi dan Mulut";"12";"13";"Februari 2020"
"THT-KL";"103";"83";"Februari 2020"
"Eksekutif Endoskopi";"13";"11";"Februari 2020"
"ASIH";"1";"73";"Februari 2020"
"BEDAH ORTHOPEDI";"186";"224";"Februari 2020"
"ANAK";"92";"69";"Februari 2020"
"Eksekutif Bedah Saraf";"22";"17";"Februari 2020"
"Eksekutif Rehab Medik";"18";"24";"Februari 2020"
"Eksekutif Mata";"39";"55";"Februari 2020"
"TB MDR";"19";"10";"Februari 2020"
"MATA";"113";"150";"Februari 2020"
"Eksekutif Kebidanan/Kandungan";"5";"81";"Februari 2020"
"HEMODIALISA";"173";"135";"Februari 2020"
"GIGI & MULUT";"57";"74";"Februari 2020"
"Eksekutif Anak";"11";"7";"Februari 2020"
"Eksekutif Interne/Penyakit Dalam";"135";"151";"Februari 2020"
"BEDAH UROLOGI";"328";"104";"Februari 2020"
"KULIT & KELAMIN";"77";"82";"Februari 2020"
"REHAB MEDIK";"178";"216";"Februari 2020"
"PSIKIATRI/JIWA";"83";"89";"Februari 2020"
"BEDAH SYARAF";"49";"72";"Februari 2020"
"Eksekutif Saraf";"54";"53";"Februari 2020"
"POLI SPESIALIS";"2";"0";"Februari 2020"
"BEDAH UMUM";"103";"124";"Februari 2020"
"KEBIDANAN/KANDUNGAN";"4";"44";"Februari 2020"
"Eksekutif Bedah Orthopedi";"55";"83";"Februari 2020"
"KELUARGA BERENCANA";"0";"7";"Februari 2020"
"JANTUNG";"526";"670";"Februari 2020"
"Eksekutif Psikiatri / Jiwa";"6";"8";"Februari 2020"
"GENERAL CHECKUP";"167";"220";"Februari 2020"
"SYARAF";"232";"243";"Februari 2020"
"PARU";"76";"57";"Februari 2020"
"Eksekutif THT";"18";"11";"Februari 2020"
"Eksekutif Bedah Urologi";"45";"22";"Februari 2020"
"Eksekutif Kulit dan Kelamin";"16";"27";"Februari 2020"
"INTERNE/PENY. DALAM";"679";"772";"Februari 2020"
"Eksekutif Jantung";"66";"75";"Februari 2020"
"Eksekutif Paru";"14";"8";"Februari 2020"
"Eksekutif Paliatif Nyeri";"4";"7";"Februari 2020"
"PALIATIF NYERI";"0";"1";"Februari 2020"
"GIZI";"14";"5";"Maret 2020"
"Eksekutif Bedah Umum";"42";"43";"Maret 2020"
"Eksekutif Gigi dan Mulut";"2";"9";"Maret 2020"
"THT-KL";"77";"80";"Maret 2020"
"ASIH";"0";"64";"Maret 2020"
"Eksekutif Endoskopi";"2";"4";"Maret 2020"
"BEDAH ORTHOPEDI";"168";"175";"Maret 2020"
"ANAK";"66";"49";"Maret 2020"
"Eksekutif Rehab Medik";"20";"20";"Maret 2020"
"Eksekutif Bedah Saraf";"22";"19";"Maret 2020"
"Eksekutif Mata";"22";"31";"Maret 2020"
"TB MDR";"19";"14";"Maret 2020"
"MATA";"104";"143";"Maret 2020"
"Eksekutif Kebidanan/Kandungan";"3";"64";"Maret 2020"
"HEMODIALISA";"165";"135";"Maret 2020"
"GIGI & MULUT";"59";"58";"Maret 2020"
"Eksekutif Anak";"13";"7";"Maret 2020"
"BEDAH UROLOGI";"292";"104";"Maret 2020"
